_id,timestamp,double_values_0,double_values_1,double_values_2,accuracy
10380,1373576764475,-1.096435547,4.761657715,9.22517395,2
10381,1373576764544,-1.016693115,4.65335083,9.187088013,2
10382,1373576764592,-1.37612915,4.105865479,9.188278198,2
10383,1373576764663,-1.577270508,3.839263916,9.133529663,2
10384,1373576764731,-1.398742676,4.168945313,8.950241089,2
10385,1373576764782,-1.263061523,4.07611084,8.795516968,2
10386,1373576764852,-1.343994141,4.17489624,8.720535278,2
10387,1373576765083,-1.354705811,3.896392822,8.959762573,2
10388,1373576765138,-1.580841064,3.614318848,8.997848511,2
10389,1373576765153,-1.467773438,3.874969482,8.702682495,2
10390,1373576765168,-1.383270264,3.832122803,9.124008179,2
10391,1373576765183,-1.420166016,3.869018555,9.103775024,2
10392,1373576765201,-1.443969727,3.858306885,8.90977478,2
10393,1373576765219,-1.229736328,3.958282471,9.049026489,2
10394,1373576765234,-1.342803955,3.87020874,9.070449829,2
10395,1373576765254,-1.204742432,3.948760986,8.94190979,2
10396,1373576765271,-1.233306885,4.013031006,8.965713501,2
10397,1373576765299,-1.310668945,3.907104492,8.818130493,2
10398,1373576765316,-1.368988037,3.810699463,8.930007935,2
10399,1373576765339,-1.305908203,3.853546143,8.782424927,2
10400,1373576765360,-1.315429688,3.849975586,8.824081421,2
10401,1373576765393,-1.057159424,3.808319092,8.896682739,2
10402,1373576765409,-1.090484619,4.187988281,8.845504761,2
10403,1373576765426,-1.34161377,3.691680908,8.820510864,2
10404,1373576765444,-1.520141602,3.464355469,9.021652222,2
10405,1373576765460,-1.452301025,3.088256836,10.1927948,2
10406,1373576765476,-1.274963379,3.383422852,9.646499634,2
10407,1373576765492,-0.531097412,3.802368164,8.860977173,2
10408,1373576765509,-0.612030029,3.76071167,8.114730835,2
10409,1373576765524,-1.203552246,3.836883545,8.174240112,2
10410,1373576765540,-1.562988281,3.824981689,8.634841919,2
10411,1373576765557,-1.380889893,4.084442139,8.759811401,2
10412,1373576765572,-1.59274292,4.090393066,9.110916138,2
10413,1373576765589,-1.495147705,3.933288574,9.285873413,2
10414,1373576765610,-1.457061768,3.986846924,8.859786987,2
10415,1373576765628,-1.828399658,3.967803955,8.68006897,2
10416,1373576765648,-2.254486084,3.755950928,9.165664673,2
10417,1373576765666,-2.237823486,3.603607178,9.895248413,2
10418,1373576765683,-1.86529541,3.441741943,9.213272095,2
10419,1373576765700,-1.435638428,3.348907471,7.168533325,2
